target,cad_value,physical_check,measured_value,evidence_path,result,notes
Installed dry stack,4 plates / 4 mats / 2 perimeter gaskets,dry stack follows production order with no liquid or powered electronics,,,not_tested,
Plate/mat service cycles,5 cycles each,"plates and mats insert, swap, reseat, and remain captured",,,not_tested,
Plate support datum,z=10.00..24.30 mm,plate is supported without scraping or contacting optical bottom,,,not_tested,
Plate locator rails,16 rails / 1.20 mm high,"real plate lot loads without filing, rocking, or sidewall crush",,,not_tested,
Consumable nominal envelope,127.60 x 85.75 mm plate / 4.50 mm mat stack,mat seats on plate without lifting plate from locator rails,,,not_tested,
Latch gasket squeeze budget,0.55 mm target / 0.20..0.80 mm allowed,"latches close stack without plate bow, gasket overcrush, screws, or glue",,,not_tested,
Wedge lock stations,9 locks / 9.00 mm travel body,"every printed wedge inserts, detents, releases, and survives cycling",,,not_tested,
Latch asymmetry watch,1 omitted / 181.00 mm max span,inspect wet-frame/lid bow near omitted station before wet tests,,,not_tested,
Latch self-lock margin,0.32 deg / detent_or_physical_test_required,detent must hold through dry service cycling before liquid exposure,,,not_tested,
Latch retention/span evidence,0.32 deg margin / 181.00 mm span / 1 omitted,"dry-cycle detent hold, omitted-station bow, post bearing, and gasket squeeze evidence required before wet tests",,,not_tested,
Fail-closed pre-run inspection,10 checkpoints / any_blocker_not_passed_prevents_ot2_operation,any failed blocker row prevents OT-2 operation until corrected,,,not_tested,
Side gas service dry fit,2 tubes / 36.00 mm envelope / 18.00 mm bend radius,supply and return tubes seat on printed barbs without glue or clamps,,,not_tested,
Electrical service dry fit,3 pigtails / 12.00 mm bend radius,pigtails dress into +Y service exits without pinching covers,,,not_tested,
Sensor package dry fit,2 gas PCB / 4 SHT41 / 4 IR,real packages or dimensional blanks install and remove without trimming,,,not_tested,
Dry-bay open volume,120.20 x 347.90 x 80.00 mm,"dry observer bay remains open, unblocked, and free of assembly debris",,,not_tested,
