part,source,role,acceptable_item,operating_requirement,item_identifier,installed_as,evidence_path,result,notes
ir_thermopiles,electronics_or_dimensional_blank,plate-margin sample-plane temperature sensing,TO-39 IR thermopile or measured package blank,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
lower_sensor_harness,electronics_or_dimensional_blank,dry-side IR sensor wiring route inside covered lower channel,lower IR sensor harness assembly or mechanical harness blank,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
lower_sensor_service_connector,electronics_or_dimensional_blank,row-end lower sensor electrical service interface,row-end lower sensor connector or dimensional connector blank,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
lower_sensor_service_cable_pigtail,electronics_or_dimensional_blank,installed lower sensor electrical service lead,installed lower sensor service cable pigtail,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
cots_microplates,cots_consumable,cell-culture consumable and well geometry for biology,CellVis P96-1.5H-N plate,real_part required; dimensional blank not accepted,,,,not_tested,
cots_septum_mats,cots_consumable,replaceable pre-slit septum access and wet headspace closure,Cole-Parmer 1292006 round pre-slit silicone mat,real_part required; dimensional blank not accepted,,,,not_tested,
headspace_sht41_microcarriers,electronics_or_dimensional_blank,per-plate wet-headspace humidity and temperature sensing,SHT41 headspace microcarrier or dimensional carrier blank,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
lid_sensor_harness,electronics_or_dimensional_blank,lid-side gas and headspace sensor wiring route under cover,lid sensor harness assembly or mechanical harness blank,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
lid_sensor_service_connectors,electronics_or_dimensional_blank,row-end lid sensor electrical service interfaces,row-end lid sensor service connectors or dimensional connector blanks,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
lid_sensor_service_cable_pigtails,electronics_or_dimensional_blank,installed lid sensor electrical service leads,installed lid sensor service cable pigtails,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
cots_gas_service_tubes,service_tubing,installed side supply and return gas service tubing,gas service tubing matching CAD ID/OD assumption or measured replacement,real_part or measured_replacement required with physical evidence,,,,not_tested,
gas_sensor_pcbs,electronics_or_dimensional_blank,supply and return gas-state sensor electronics,gas sensor PCB cartridge or dimensionally faithful cartridge blank,dimensional_blank is dry-fit only through Gate 5; real_part required for Gate 6 and operating acceptance,,,,not_tested,
