mode,mode_type,review_scope,acceptance_gate,expected_removed_parts,expected_review_parts,screenshot_path,result,notes
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/installed_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
bench_sealed,service,bench-only sealed leak/setup review; not normal OT-2 operating authority,preflight digital bench-only service-state review,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/bench_sealed_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
sample_relief_flow_test,service,bench-only sample/relief flow-test adapter review; not installed operation,preflight digital bench-only service-state review,printed_sample_relief_cap,sample_relief_flow_test_adapter,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/sample_relief_flow_test_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/exploded_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
lid_off,service,lid-stack removal service review,Gate 2 dry assembly serviceability,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/lid_off_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
sensor_install,service,sensor cartridge and microcarrier service review,Gate 6 sensor/thermal serviceability,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/sensor_install_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
mats_exposed,service,septum mat service access review,Gate 5 consumable/puncture serviceability,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/mats_exposed_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
wet_frame_off,service,wet-chamber frame removal service review,Gate 4 wet/dry witness serviceability,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/wet_frame_off_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
plates_removable,service,plate and septum stack removal service review,Gate 5 consumable/puncture serviceability,,,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/plates_removable_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
sample_relief_cap_missing,negative_review,missing sample/relief cap assembly-state review,Gate 4 wet/dry witness fail-closed inspection,printed_sample_relief_cap,missing_sample_relief_cap_witness,data/measurements/2026-06-02_one_row_coupon_service_state_bounds/sample_relief_cap_missing_plain_python_bounds.csv,pass,plain-Python bounds evidence; physical Gate 1-6 rows unchanged
