target,cad_value,physical_check,measured_value,evidence_path,result,notes
Sensor install workflow,10 steps / 7 gates,install/remove follows printed reversible no-screws/no-glue policy,,,not_tested,
Gas PCB cartridges,"2 cartridges, 5.00 x 30.00 x 25.00 mm",supply/return cartridges seat in dry-side duct sampling cassettes,,,not_tested,
Gas PCB aperture/dead volume,2.00 mm aperture / 12.80 mm3 cell,"aperture aligns to required duct sampling cell validation body, not open top headspace",,,not_tested,
Gas PCB gasket,0.60 mm gasket / 0.20 mm compression,interface gasket visibly seats without crushing sensor package,,,not_tested,
Headspace SHT41 carriers,"4 carriers, 12.00 x 12.00 x 4.00 mm",one membrane aperture exposed per plate-local headspace,,,not_tested,
Headspace SHT41 aperture,3.00 mm aperture / 5.20 mm drip ring OD,membrane is exposed while pooling is kept off carrier electronics,,,not_tested,
IR thermopile pockets,"4 pockets, 8.00 x 8.00 x 4.50 mm",plate-margin thermopiles seat with lens unobstructed,,,not_tested,
IR aperture/gasket,6.00 mm aperture / 0.45 mm gasket / 0.12 mm compression,face gasket centered and dry-side aperture face sealed,,,not_tested,
IR proxy FOV spot,"1.08 mm at plate margin, 12.00 deg FOV",proxy only; edge-to-center plan required before cell-temperature claims,,,not_tested,
Harness route count,4 lower / 6 lid routes,covered routes keep wires out of wet chamber and pipette field,,,not_tested,
Service connectors/cables,3 connectors / 3 cable envelopes,continuity survives five install/remove service cycles,,,not_tested,
Sensor connector service clearance,145.60 x 12.00 x 43.30 mm,required connector clearance body stays open through mating and cable service,,,not_tested,
Service cable envelope,6.00 x 30.00 x 5.10 mm,row-end cable dress stays in modeled +Y envelope,,,not_tested,
Service cable bend envelope,12.00 mm bend radius / 18.00 mm straight,external cable dress does not kink or pull connector shrouds,,,not_tested,
Observer front-end swept volume,120.00 x 347.50 x 40.00 mm,required front-end swept body clears apertures and focus travel,,,not_tested,
Observer carriage reserved volume,100.00 x 58.00 x 62.00 mm,required carriage envelope stays outside wet stack and pipette field,,,not_tested,
Observer service raceway envelope,8.00 x 347.90 x 24.00 mm,required service raceway body keeps observer loop out of wet chamber,,,not_tested,
Observer optical stability evidence,8 checks / 4 apertures / 32 targets,do not claim observer imaging/Raman quality until every optical checkpoint has evidence,,,not_tested,
Observer kinematic split evidence,5 checks / 3 split envelopes / 32 targets,"front-end, carriage, focus travel, and service loop split must be evidenced before observer readiness claims",,,not_tested,
Thermal proxy plan,4 center refs / 4 IR proxies / 4 SHT41 points / 4 condensation pockets,center-to-edge correlation and condensation pocket inspection plan required before cell-temperature claims,,,not_tested,
